job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1315471,2,10
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1315471,2,10
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907166,3,1
Writer,Writing,5a9e02c20e0a2671f0008b13,False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,2907166,3,1
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907166,3,1
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907175,3,2
Writer,Writing,5a9e02c20e0a2671f0008b13,False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,2907175,3,2
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907175,3,2
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907176,3,3
Writer,Writing,5a9e02c20e0a2671f0008b13,False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,2907176,3,3
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907176,3,3
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907177,3,4
Writer,Writing,5a9e02c20e0a2671f0008b13,False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,2907177,3,4
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907177,3,4
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907179,3,5
Writer,Writing,5a9e02c20e0a2671f0008b13,False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,2907179,3,5
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,2907179,3,5
