air_date,episode_count,id,name,overview,poster_path,season_number
2011-11-04,13,18458,Specials,,/qNqbX8apiHxAQBSsKzf1yWP5zs0.jpg,0
2009-04-09,6,18455,Season 1,"From Emmy Award-winning executive producers/writers Greg Daniels (The Office, King of the Hill) and Michael Schur (The Office, Saturday Night Live) comes a new comedy about a place where nothing always gets done . . . small town government.",/szKfiau8TvZoDEUPPRA2JEyJ9N1.jpg,1
2009-09-17,24,18456,Season 2,"Amy Poehler stars as Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana. In an attempt to beautify her town — and advance her career — Leslie takes on defensive bureaucrats, cranky neighbors, real estate developers, and single-issue fanatics whose weapons are lawsuits, the jumble of city codes, and the very democratic process that Leslie loves so much.",/zygBZavTfjyFPyVCpJE4TeWwJNm.jpg,2
2011-01-20,16,18457,Season 3,"The third season consisted of several major story arcs, including a complete shutdown of the Pawnee government for budgetary reasons, inspired by the real-life global financial crisis. Other storylines included the parks department's organization of a harvest festival, a romance between Leslie and Ben, and the dating and eventual marriage of Andy Dwyer and April Ludgate.",/lOjpLzS3DM32J6qnpQN7vdnLsHX.jpg,3
2011-09-22,22,18459,Season 4,"As with past seasons, it focused on Leslie Knope and her staff at the parks and recreation department of the fictional Indiana town of Pawnee. However, this season featured an overarching story arc, beginning in the first episode and culminating in the finale, where Leslie ran for the city council of Pawnee.",/iftcILTvQmYzUBxneKEgYX58iuT.jpg,4
2012-09-20,22,18460,Season 5,"The show follows Leslie Knope, a mid-level bureaucrat turned City Councilwoman, and her tireless efforts to make her quintessentially American town just a little bit more fun.",/qnrhCD1Vse36jycFBJuGecCyZ2z.jpg,5
2013-09-26,22,18461,Season 6,"Does Pawnee have someone with the intelligence, popularity and political savvy to run for higher office? Knope.",/hCFf5FR9Z00pYWagaxyNSINGKur.jpg,6
2015-01-13,13,63129,Season 7,"""Parks and Recreation"" is a hilarious ensemble comedy that follows Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Ind., and her tireless efforts to make her quintessentially American town just a little bit more fun.",/Y5IvG6xO5ese7bL2ljxMw65MaD.jpg,7
