adult,gender,id,known_for_department,name,original_name,popularity,profile_path,character,credit_id,order,episodeId,seasonNumber,episodeNumber
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,2422149,0,9
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,2422149,0,9
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,2422149,0,9
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,2422150,0,10
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,2422150,0,10
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,2422150,0,10
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,2422150,0,10
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,2659245,0,11
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,2659245,0,11
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,2659245,0,11
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,2659245,0,11
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,2659246,0,12
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,2659246,0,12
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,2659246,0,12
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,2659246,0,12
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,2659248,0,13
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,2659248,0,13
