job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5e9b1633310325001cc704c8,False,2,1212609,Directing,Tucker Gates,Tucker Gates,2.823,/fZTqgwbg6VWMz3VwoGrtMocg2xV.jpg,972004,1,18
Writer,Writing,5e9b163bd18fb900228ede4f,False,2,1611882,Directing,David Quandt,David Quandt,0.6,,972004,1,18
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,972341,1,19
Director,Directing,5e9b16584a4bfc0023d4d9ba,False,2,204222,Directing,Fred Goss,Fred Goss,0.84,,972341,1,19
Director,Directing,5e9b1689fd6fa1001d01fc9c,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,972691,1,20
Writer,Writing,5e9afaccfd6fa1002401dfe6,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,972691,1,20
Director,Directing,5e9b16b03103250021c70840,False,2,1212689,Directing,Ken Whittingham,Ken Whittingham,2.628,/tu5mskTc5wEvCzSyQJHPKKTcETI.jpg,973086,1,21
Writer,Writing,5e9af815fd6fa1001d01d534,False,2,1535915,Production,Prentice Penny,Prentice Penny,0.6,/kQQOYuPHEN5p9DLgdVyx739fGrY.jpg,973086,1,21
Writer,Writing,5cc636609251410961f46b91,False,0,1893099,Writing,Gil Ozeri,Gil Ozeri,0.6,/nCQ26myxkz5cq3RLTnBR1fRhJZm.jpg,973302,1,22
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,973302,1,22
Director,Directing,5e9b16faeb79c200205b847b,False,2,62854,Directing,Akiva Schaffer,Akiva Schaffer,1.62,/iGbjkd0fpjdbdtXukpNk1tyBof4.jpg,973302,1,22
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,1004769,2,1
Producer,Production,5cc64129c3a3682820826e24,False,2,62861,Acting,Andy Samberg,Andy Samberg,5.196,/uDHHDEoySchljXtIMxjha0Odyfj.jpg,1004769,2,1
Director,Directing,5e9b1285e22d28001b5fa5da,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1004769,2,1
Co-Executive Producer,Production,5e9f1ee838e5100024e86d78,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,1004769,2,1
