department,job,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writing,Writer,52573090760ee3776a3422c9,False,2,1229493,Writing,Aaron Shure,Aaron Shure,0.6,,170193,6,25
Writing,Writer,52573091760ee3776a3424b5,False,0,1225604,Writing,Warren Lieberstein,Warren Lieberstein,0.6,,170196,6,26
Writing,Writer,52573092760ee3776a3424e9,False,2,1230848,Writing,Halsted Sullivan,Halsted Sullivan,0.6,,170196,6,26
Directing,Director,52573090760ee3776a342018,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170196,6,26
Writing,Writer,52573093760ee3776a3426d7,False,2,1216625,Writing,Daniel Chun,Daniel Chun,1.4,/vEve4iO4pGsidxdjMdhoGL0BNWA.jpg,170266,7,1
Writing,Writer,5257307f760ee3776a340702,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170268,7,2
Directing,Director,525730a1760ee3776a3438a7,False,2,194227,Directing,John Scott,John Scott,0.917,,170267,7,3
Writing,Writer,52573093760ee3776a3425fb,False,2,1226276,Writing,Charlie Grandy,Charlie Grandy,1.96,,170267,7,3
Directing,Director,52573090760ee3776a342018,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170267,7,3
Writing,Writer,52573080760ee3776a340878,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170269,7,4
Directing,Director,52573090760ee3776a342018,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170269,7,4
Directing,Director,5257308a760ee3776a3417cf,False,2,1215572,Directing,Randall Einhorn,Randall Einhorn,1.189,,170270,7,5
Writing,Writer,5257307d760ee3776a3401b0,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170270,7,5
Writing,Writer,5257308f760ee3776a341e7f,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,170271,7,6
Directing,Director,5baecc479251413cec000f87,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,170271,7,6
Directing,Director,525730a3760ee3776a343a52,False,2,1223146,Directing,Alex Hardcastle,Alex Hardcastle,0.629,,170272,7,7
Writing,Writer,525730a3760ee3776a343a1e,False,2,1230854,Writing,Peter Ocko,Peter Ocko,0.6,,170272,7,7
Directing,Director,52573080760ee3776a3408ac,False,2,1212689,Directing,Ken Whittingham,Ken Whittingham,2.628,/tu5mskTc5wEvCzSyQJHPKKTcETI.jpg,170273,7,8
Writing,Writer,525730a4760ee3776a343a95,False,2,239,Writing,Jon Vitti,Jon Vitti,2.478,/yoljNk80dUPs5sftsPHiDf31kQ9.jpg,170273,7,8
Directing,Director,525730a4760ee3776a343b45,False,2,56591,Directing,Danny Leiner,Danny Leiner,1.4,,170275,7,9
Writing,Writer,52573090760ee3776a3422c9,False,2,1229493,Writing,Aaron Shure,Aaron Shure,0.6,,170275,7,9
Writing,Writer,52573091760ee3776a3424b5,False,0,1225604,Writing,Warren Lieberstein,Warren Lieberstein,0.6,,170274,7,10
