job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Executive Story Editor,Writing,601682f95b4fed0040a2e82a,False,1,1982846,Writing,Hailey Chavez,Hailey Chavez,0.6,,2634201,6,7
Director,Directing,6016841c87a27a003fe21ab2,False,2,646785,Directing,Kim Nguyen,Kim Nguyen,0.6,/sDXWgoYgqlRTrkjDbjzxIoCNaif.jpg,2634201,6,7
Writer,Writing,6016844fcb8028003f138991,False,2,1301577,Acting,Rene Gube,Rene Gube,0.7,/yUlPKqkYNMkvtWEFHYssUMIjCbF.jpg,2634201,6,7
Director,Directing,5cabc158c3a3687d00b68a37,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,2651682,6,8
Producer,Production,600a8cbddd83fa003d8f5aef,False,2,2946946,Production,Josh Greene,Josh Greene,0.6,,2651682,6,8
Producer,Production,600a9126d55c3d003e6dc83e,False,2,78431,Acting,Ben Feldman,Ben Feldman,1.827,/tgp0W4SUFKew2sLugHBfTWIw1Dl.jpg,2651682,6,8
Writer,Writing,602152a2ccde040041f30a4b,False,0,2969752,Writing,Jen Vierck,Jen Vierck,0.6,,2651682,6,8
Producer,Production,600a8cbddd83fa003d8f5aef,False,2,2946946,Production,Josh Greene,Josh Greene,0.6,,2682823,6,9
Producer,Production,600a9126d55c3d003e6dc83e,False,2,78431,Acting,Ben Feldman,Ben Feldman,1.827,/tgp0W4SUFKew2sLugHBfTWIw1Dl.jpg,2682823,6,9
Writer,Writing,6026f1e10dea6e003facfbb2,False,2,1243142,Acting,Colton Dunn,Colton Dunn,1.896,/erzrfkv3WjtCXbGtLagzeMv67Ii.jpg,2682823,6,9
Director,Directing,6026f2400dea6e0041acfa37,False,0,78979,Editing,James Renfroe,James Renfroe,0.6,,2682823,6,9
Writer,Writing,5c720933c3a3685a3c14812c,False,0,2249221,Writing,John Kazlauskas,John Kazlauskas,0.6,,2706016,6,10
Director,Directing,600a8d3dc2ff3d003d3a7835,False,1,206264,Directing,Betsy Thomas,Betsy Thomas,0.84,,2706016,6,10
Director,Directing,5c904fb39251410ff4a51946,False,0,1413800,Production,Ross Novie,Ross Novie,0.6,,2718589,6,11
Writer,Writing,6042e2221108a8007783e0b8,False,1,1982846,Writing,Hailey Chavez,Hailey Chavez,0.6,,2718589,6,11
Director,Directing,5aebd0fe0e0a266e290019c2,False,2,1096370,Directing,Matt Sohn,Matt Sohn,0.98,,2756324,6,12
Writer,Writing,5c75c2ac0e0a260b4c1b989d,False,0,2246554,Production,Bridget Kyle,Bridget Kyle,0.6,,2756324,6,12
Writer,Writing,5c75c2b99251416892553fae,False,0,1455578,Writing,Vicky Luu,Vicky Luu,0.6,,2756324,6,12
Writer,Writing,600a8c0ae04d8a003dc54f2f,False,2,1605873,Writing,Josh Malmuth,Josh Malmuth,0.656,,2769203,6,13
Writer,Writing,6016844fcb8028003f138991,False,2,1301577,Acting,Rene Gube,Rene Gube,0.7,/yUlPKqkYNMkvtWEFHYssUMIjCbF.jpg,2769203,6,13
Director,Directing,6054bb0abd990c004c382e33,False,0,1626415,Directing,Kabir Akhtar,Kabir Akhtar,0.694,,2769203,6,13
Director,Directing,554da09dc3a3681870000bfe,False,2,91268,Directing,Ruben Fleischer,Ruben Fleischer,1.685,/3JLxOPFTLigSy8FjFjDyMwD9GIp.jpg,2785635,6,14
