job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Camera Operator,Camera,59c714a09251415b770541e7,False,2,1847894,Camera,Josh Gundling Williamson,Josh Gundling Williamson,0.6,,1343101,2,1
Rigging Gaffer,Lighting,59c7158ac3a36813a904e794,False,0,1597208,Lighting,Tim Durr,Tim Durr,0.6,,1343101,2,1
Story Editor,Writing,59c70eee9251415b24051c38,False,0,1893777,Writing,Cord Jefferson,Cord Jefferson,0.6,,1343101,2,1
Art Direction,Art,59c713e69251415b5d04ee87,False,0,1893784,Art,Yvonne Garnier-Hackl,Yvonne Garnier-Hackl,0.695,,1343101,2,1
Costume Supervisor,Costume & Make-Up,59c713fec3a3681403053c79,False,0,1893785,Costume & Make-Up,Alexis Jacks,Alexis Jacks,0.6,,1343101,2,1
Makeup Department Head,Costume & Make-Up,59c7142e9251415b2405226b,False,0,1893786,Costume & Make-Up,Regina Homan,Regina Homan,0.6,,1343101,2,1
Second Assistant Director,Directing,59c71383c3a36814610468a7,False,0,1893783,Directing,Jeff Rosenberg,Jeff Rosenberg,0.98,,1343101,2,1
Camera Operator,Camera,59c71492c3a36813a904e687,False,2,1691195,Camera,Trey Clinesmith,Trey Clinesmith,0.98,,1343101,2,1
Script Supervisor,Directing,59c7152ac3a368144305361b,False,1,1352983,Directing,Valeria Migliassi Collins,Valeria Migliassi Collins,0.84,,1343101,2,1
Story Editor,Writing,59c70f11c3a368143005298a,False,0,1230225,Writing,Daniel Schofield,Daniel Schofield,0.6,,1343101,2,1
Story Editor,Writing,59c70efd9251415b28051a7f,False,2,1708292,Writing,Andrew Law,Andrew Law,0.608,/ambF0ZmnMhHxZAd7cNHFLwur8Tt.jpg,1343101,2,1
Production Design,Art,59c712329251415b5404ed59,False,0,1893780,Art,Matt Flynn,Matt Flynn,0.6,,1343101,2,1
Director,Directing,587bd89bc3a3684a6501310d,False,2,1539690,Directing,Trent O'Donnell,Trent O'Donnell,0.84,,1343101,2,1
Writer,Writing,587bd7f9c3a3684a4a013d30,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1343101,2,1
Writer,Writing,587bd914925141410100792d,False,1,1356008,Writing,Jen Statsky,Jen Statsky,0.6,,1343101,2,1
Editor,Editing,59c71262c3a368144305325f,False,2,1293989,Editing,Matthew Freund,Matthew Freund,0.84,,1343101,2,1
Unit Production Manager,Production,59c712cd9251415b3204fc77,False,2,1743817,Production,David Hyman,David Hyman,0.698,,1343101,2,1
First Assistant Director,Directing,59c7132cc3a36813ed05190e,False,0,1893781,Directing,Steve Day,Steve Day,0.6,,1343101,2,1
Best Boy Electric,Lighting,59c71b009251415b3205053a,False,2,1578185,Lighting,Corwin A. Bibb,Corwin A. Bibb,0.608,,1343101,2,1
Set Designer,Art,59c71a6e9251415b5d04f5a9,False,0,1584968,Art,Camille M. Bratkowski,Camille M. Bratkowski,0.6,,1343101,2,1
Special Effects Supervisor,Visual Effects,59c71a989251415b6e04da3d,False,0,1893803,Visual Effects,Virgil Sanchez,Virgil Sanchez,0.6,,1343101,2,1
Leadman,Art,59c71a809251415b5404f68c,False,0,1893802,Art,Patrik Alven,Patrik Alven,0.6,,1343101,2,1
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1366208,2,2
Director,Directing,578e2545c3a3681796003559,False,2,47506,Writing,Drew Goddard,Drew Goddard,1.689,/rcxxyIGDgPkXVgAQb9LLXfR89pv.jpg,1366208,2,2
Writer,Writing,587bd881c3a36846c300f7c6,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,1366208,2,2
Editor,Editing,5fb3aae2c15f8900408a72e3,False,2,224530,Editing,Eric Kissack,Eric Kissack,1.052,,1366208,2,2
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1366209,2,3
Director,Directing,587bd80ec3a36849ff011370,False,2,1241313,Production,Morgan Sackett,Morgan Sackett,1.03,,1366209,2,3
